lot_number,Lot,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24093721,43F,43F/5/48," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,30.06.2026 09:00,10,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,1,https://e-auksion.uz/lot-view?lot_id=24093721
24093733,43F,43F/8/20," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,30.06.2026 09:00,4,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24093733
24093657,46A,46A/1/38," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,30.06.2026 09:00,9,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,2,https://e-auksion.uz/lot-view?lot_id=24093657
24093666,46A,46A/3/47," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,30.06.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,2,https://e-auksion.uz/lot-view?lot_id=24093666
24093671,46A,46A/2/48," $973,261,000.00 "," $10,900,000.00 "," $48,663,050.00 ",0,On sale,30.06.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,3,https://e-auksion.uz/lot-view?lot_id=24093671
24093680,46A,46A/3/38," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,30.06.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,4,https://e-auksion.uz/lot-view?lot_id=24093680
24093697,46A,46A/4/37," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",1,On sale,30.06.2026 09:00,11,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,5,https://e-auksion.uz/lot-view?lot_id=24093697
24093705,43F,43F/5/12," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,30.06.2026 09:00,3,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,1,https://e-auksion.uz/lot-view?lot_id=24093705
24093722,43F,43F/5/18," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,30.06.2026 09:00,4,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,1,https://e-auksion.uz/lot-view?lot_id=24093722
24093726,43F,43F/8/40," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,30.06.2026 09:00,7,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,1,https://e-auksion.uz/lot-view?lot_id=24093726
24093735,43F,43F/8/14," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,30.06.2026 09:00,3,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24093735
24093744,43F,43F/8/28," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,30.06.2026 09:00,5,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,1,https://e-auksion.uz/lot-view?lot_id=24093744
24093614,44B,44B/6/51," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,30.06.2026 09:00,9,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,0,https://e-auksion.uz/lot-view?lot_id=24093614
24093624,46A,46A/6/51," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,30.06.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,1,https://e-auksion.uz/lot-view?lot_id=24093624
24093634,44B,44B/6/33," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,30.06.2026 09:00,6,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,0,https://e-auksion.uz/lot-view?lot_id=24093634
